Tenure in Months,Offer,Monthly Charge,Total Charges,Internet Service,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Contract,Paperless Billing,Customer Status,Churn Category
47,Offer B,87.2,4017.45,Yes,No,Yes,No,No,Month-to-Month,No,Stayed,Competitor
62,Offer B,108.15,6825.65,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
71,Offer B,116.3,8309.55,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Stayed,Competitor
7,Offer B,89.0,605.45,Yes,No,No,No,No,Two Year,Yes,Stayed,Competitor
27,Offer C,74.4,1972.35,Yes,Yes,No,No,No,Month-to-Month,No,Stayed,Competitor
2,Offer B,20.05,33.7,No,No,No,No,No,Month-to-Month,No,Joined,Competitor
25,Offer C,35.05,844.45,Yes,Yes,No,No,Yes,Two Year,No,Stayed,Competitor
30,Offer B,74.75,2111.3,Yes,Yes,Yes,No,No,One Year,Yes,Stayed,Competitor
58,Offer B,105.5,6205.5,Yes,Yes,Yes,No,Yes,One Year,Yes,Churned,Attitude
10,Offer D,85.25,855.3,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
9,Offer B,75.2,633.85,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
6,Offer B,84.35,474.9,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Other
69,Offer B,84.45,5848.6,Yes,Yes,No,Yes,No,One Year,No,Stayed,Competitor
66,Offer B,102.4,6471.85,Yes,Yes,No,No,No,Two Year,Yes,Stayed,Competitor
70,Offer A,115.55,8127.6,Yes,Yes,Yes,Yes,Yes,One Year,No,Churned,Dissatisfaction
25,Offer C,25.3,676.35,No,No,No,No,No,One Year,No,Churned,Price
46,Offer B,19.25,864.2,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
54,Offer B,114.65,6049.5,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Stayed,Competitor
15,Offer B,105.1,1582.75,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Churned,Competitor
12,Offer D,19.4,198.1,No,No,No,No,No,Month-to-Month,No,Stayed,Competitor
22,Offer B,50.35,1098.85,Yes,No,Yes,No,No,Month-to-Month,Yes,Stayed,Competitor
70,Offer B,57.8,4039.3,Yes,No,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
30,Offer C,84.3,2438.6,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Stayed,Competitor
71,Offer A,100.55,7113.75,Yes,No,Yes,No,No,One Year,No,Stayed,Competitor
30,Offer B,19.8,576.65,No,No,No,No,No,One Year,No,Stayed,Competitor
4,Offer E,84.8,371.9,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Churned,Competitor
2,Offer E,85.85,167.3,Yes,No,No,Yes,No,Month-to-Month,Yes,Churned,Competitor
10,Offer B,19.95,219.5,No,No,No,No,No,One Year,Yes,Stayed,Competitor
4,Offer E,75.35,273.4,Yes,Yes,No,No,No,One Year,No,Stayed,Competitor
52,Offer B,48.8,2555.05,Yes,Yes,No,No,No,Two Year,Yes,Stayed,Competitor
5,Offer B,47.15,223.15,Yes,No,No,No,No,Month-to-Month,No,Churned,Competitor
8,Offer E,20.15,165.5,No,No,No,No,No,Two Year,No,Stayed,Competitor
2,Offer E,44.3,89.3,Yes,No,No,No,No,One Year,Yes,Joined,Competitor
3,Offer E,84.3,235.05,Yes,No,Yes,No,No,Month-to-Month,No,Joined,Competitor
19,Offer D,59.55,1144.6,Yes,No,No,Yes,Yes,Month-to-Month,No,Stayed,Competitor
72,Offer A,69.65,4908.25,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
63,Offer B,36.1,2298.9,Yes,Yes,No,No,Yes,One Year,No,Stayed,Competitor
66,Offer B,56.6,3789.2,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
1,Offer B,75.9,75.9,Yes,No,No,No,Yes,Month-to-Month,Yes,Churned,Competitor
60,Offer B,79.2,4765.0,Yes,No,No,Yes,No,One Year,Yes,Stayed,Competitor
48,Offer B,45.0,2196.3,Yes,Yes,No,Yes,No,One Year,No,Stayed,Competitor
1,Offer E,85.55,85.55,Yes,No,No,Yes,No,Month-to-Month,Yes,Churned,Other
15,Offer B,93.35,1444.65,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
50,Offer B,109.65,5405.8,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Stayed,Competitor
72,Offer A,89.7,6339.3,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
46,Offer B,84.25,3847.6,Yes,Yes,Yes,No,No,Month-to-Month,No,Stayed,Competitor
72,Offer B,92.65,6733.0,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
1,Offer B,19.7,19.7,No,No,No,No,No,Month-to-Month,No,Joined,Competitor
1,Offer B,50.1,50.1,Yes,No,No,No,No,Month-to-Month,Yes,Joined,Competitor
67,Offer A,92.45,6140.85,Yes,Yes,Yes,No,Yes,Two Year,Yes,Stayed,Competitor
48,Offer B,79.65,3870.3,Yes,No,Yes,No,Yes,Two Year,No,Stayed,Competitor
72,Offer B,109.9,7624.2,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
52,Offer B,81.4,4354.45,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Stayed,Competitor
67,Offer A,50.55,3431.75,Yes,No,Yes,No,No,One Year,No,Stayed,Competitor
28,Offer C,81.05,2227.1,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
32,Offer C,62.45,2045.55,Yes,No,Yes,Yes,No,Month-to-Month,No,Stayed,Competitor
27,Offer B,75.2,1929.35,Yes,Yes,No,No,No,Month-to-Month,Yes,Churned,Attitude
3,Offer B,90.4,268.45,Yes,No,Yes,Yes,No,Month-to-Month,No,Joined,Competitor
2,Offer E,85.65,181.5,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
9,Offer B,72.9,651.4,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Churned,Competitor
50,Offer B,70.5,3486.65,Yes,Yes,No,No,Yes,Two Year,Yes,Stayed,Competitor
71,Offer B,20.1,1389.6,No,No,No,No,No,Two Year,No,Stayed,Competitor
32,Offer C,74.9,2303.35,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Attitude
16,Offer D,100.7,1522.7,Yes,Yes,No,Yes,No,Month-to-Month,No,Stayed,Competitor
67,Offer A,105.65,6717.9,Yes,No,No,Yes,Yes,Two Year,Yes,Stayed,Competitor
72,Offer B,114.3,8058.55,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
3,Offer E,19.75,58.85,No,No,No,No,No,Month-to-Month,No,Churned,Attitude
23,Offer B,24.35,538.5,No,No,No,No,No,One Year,No,Stayed,Competitor
72,Offer B,69.85,5102.35,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
7,Offer E,-3.0,465.7,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Stayed,Competitor
8,Offer E,54.4,475.1,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
66,Offer A,50.55,3364.55,Yes,No,No,No,Yes,Two Year,No,Stayed,Competitor
5,Offer E,21.05,113.85,No,No,No,No,No,Month-to-Month,No,Churned,Attitude
49,Offer B,103.7,5036.3,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Churned,Competitor
63,Offer B,19.95,1234.8,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
12,Offer D,29.3,355.9,Yes,No,No,No,Yes,Month-to-Month,Yes,Stayed,Competitor
27,Offer B,54.75,1510.3,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Stayed,Competitor
35,Offer B,60.55,1982.6,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Stayed,Competitor
54,Offer B,86.2,4524.05,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Stayed,Competitor
1,Offer B,95.45,95.45,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
5,Offer E,63.95,318.1,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Stayed,Competitor
19,Offer B,65.35,1231.85,Yes,No,Yes,No,Yes,One Year,Yes,Stayed,Competitor
52,Offer B,50.2,2554.0,Yes,No,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
72,Offer B,63.8,4684.3,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
32,Offer B,20.05,614.45,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
8,Offer B,101.15,842.9,Yes,No,Yes,Yes,No,Month-to-Month,No,Churned,Competitor
41,Offer B,65.0,2531.8,Yes,No,No,Yes,No,One Year,No,Stayed,Competitor
5,Offer B,19.25,86.05,No,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
11,Offer B,36.05,402.6,Yes,Yes,No,No,Yes,One Year,Yes,Stayed,Competitor
5,Offer B,96.1,453.4,Yes,No,No,No,Yes,Month-to-Month,Yes,Churned,Competitor
16,Offer D,19.05,326.65,No,No,No,No,No,One Year,No,Stayed,Competitor
71,Offer B,105.75,7382.85,Yes,No,Yes,No,Yes,One Year,No,Stayed,Competitor
11,Offer B,40.4,422.6,Yes,No,Yes,Yes,Yes,One Year,Yes,Stayed,Competitor
61,Offer B,99.15,6010.05,Yes,No,Yes,No,No,Month-to-Month,Yes,Churned,Dissatisfaction
71,Offer B,84.8,6046.1,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Stayed,Competitor
9,Offer B,19.85,178.8,No,No,No,No,No,Month-to-Month,No,Stayed,Competitor
6,Offer B,49.45,314.6,Yes,Yes,No,No,No,Month-to-Month,Yes,Stayed,Competitor
26,Offer B,88.8,2274.35,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Dissatisfaction
6,Offer E,55.15,322.9,Yes,Yes,Yes,No,No,Month-to-Month,No,Stayed,Competitor
11,Offer B,84.8,888.75,Yes,No,No,Yes,No,Month-to-Month,No,Stayed,Competitor
1,Offer B,80.55,80.55,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
49,Offer B,20.15,973.35,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
3,Offer E,58.7,168.6,Yes,No,Yes,No,No,Month-to-Month,Yes,Joined,Competitor
53,Offer B,99.5,5424.25,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
23,Offer B,99.85,2331.3,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Churned,Other
2,Offer B,45.35,89.5,Yes,No,No,No,No,Month-to-Month,No,Churned,Competitor
1,Offer B,48.55,48.55,Yes,Yes,No,No,No,Month-to-Month,Yes,Churned,Attitude
3,Offer B,26.4,121.25,No,No,No,No,No,Two Year,Yes,Joined,Competitor
68,Offer B,100.2,6851.65,Yes,No,Yes,No,No,Month-to-Month,Yes,Churned,Competitor
8,Offer B,94.7,740.3,Yes,No,No,Yes,No,Month-to-Month,Yes,Churned,Competitor
70,Offer A,97.65,6982.5,Yes,No,No,Yes,No,One Year,Yes,Stayed,Competitor
39,Offer C,100.0,3835.55,Yes,No,No,Yes,No,One Year,No,Stayed,Competitor
1,Offer B,70.1,70.1,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
3,Offer B,97.9,315.3,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Churned,Price
60,Offer B,102.5,6157.6,Yes,No,Yes,Yes,No,One Year,No,Stayed,Competitor
5,Offer E,69.95,330.15,Yes,No,No,No,No,Month-to-Month,No,Churned,Attitude
3,Offer E,81.35,233.7,Yes,No,Yes,No,No,Month-to-Month,Yes,Churned,Competitor
55,Offer B,66.05,3462.1,Yes,Yes,Yes,No,Yes,One Year,Yes,Stayed,Competitor
72,Offer B,61.2,4390.25,Yes,Yes,No,Yes,Yes,Two Year,Yes,Stayed,Competitor
72,Offer A,74.4,5360.75,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
41,Offer B,106.3,4443.45,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Churned,Price
60,Offer B,39.6,2424.5,Yes,Yes,Yes,Yes,No,Two Year,No,Stayed,Competitor
6,Offer B,89.3,577.6,Yes,No,No,No,No,Month-to-Month,No,Churned,Other
46,Offer B,108.9,4854.3,Yes,No,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
15,Offer B,19.9,320.45,No,No,No,No,No,Month-to-Month,No,Stayed,Competitor
58,Offer B,102.1,5885.4,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Churned,Competitor
23,Offer B,19.6,426.65,No,No,No,No,No,Two Year,No,Stayed,Competitor
31,Offer C,98.9,2911.3,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Churned,Other
11,Offer D,45.9,521.9,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
56,Offer B,99.9,5706.3,Yes,No,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
25,Offer C,20.05,471.7,No,No,No,No,No,Month-to-Month,No,Stayed,Competitor
68,Offer A,-8.0,4539.6,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
40,Offer B,19.65,830.25,No,No,No,No,No,Two Year,No,Stayed,Competitor
36,Offer B,84.9,3067.2,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Attitude
32,Offer C,108.15,3432.9,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Churned,Attitude
71,Offer A,86.85,6263.8,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
17,Offer D,102.55,1742.5,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Stayed,Competitor
18,Offer D,78.2,1468.75,Yes,No,No,Yes,Yes,Month-to-Month,No,Stayed,Competitor
37,Offer B,91.2,3382.3,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Stayed,Competitor
2,Offer B,19.35,46.35,No,No,No,No,No,Month-to-Month,No,Joined,Competitor
28,Offer C,70.4,1992.2,Yes,No,No,No,No,One Year,Yes,Stayed,Competitor
9,Offer E,39.55,373.0,Yes,Yes,Yes,Yes,No,One Year,No,Stayed,Competitor
1,Offer E,50.15,50.15,Yes,Yes,No,No,No,Month-to-Month,No,Joined,Competitor
65,Offer B,20.4,1414.45,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
3,Offer B,44.6,122.7,Yes,No,No,No,No,Month-to-Month,No,Joined,Competitor
1,Offer E,34.7,34.7,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Other
36,Offer C,93.6,3366.05,Yes,Yes,No,No,No,Month-to-Month,Yes,Stayed,Competitor
23,Offer B,90.6,1943.2,Yes,No,No,No,Yes,Month-to-Month,Yes,Churned,Competitor
22,Offer D,57.95,1271.8,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Stayed,Competitor
72,Offer B,112.1,7965.95,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
17,Offer B,88.25,1460.65,Yes,No,No,Yes,No,Month-to-Month,No,Churned,Other
3,Offer B,85.8,272.2,Yes,No,No,No,Yes,Month-to-Month,No,Churned,Competitor
58,Offer B,60.3,3563.8,Yes,Yes,Yes,Yes,No,One Year,No,Churned,Dissatisfaction
67,Offer B,81.35,5398.6,Yes,Yes,Yes,Yes,No,Two Year,No,Stayed,Competitor
34,Offer B,99.85,3343.15,Yes,No,Yes,Yes,No,One Year,Yes,Stayed,Competitor
10,Offer B,20.0,198.7,No,No,No,No,No,Month-to-Month,No,Stayed,Competitor
69,Offer A,85.35,5897.4,Yes,Yes,No,Yes,Yes,Two Year,Yes,Stayed,Competitor
40,Offer B,62.05,2511.55,Yes,Yes,Yes,Yes,No,One Year,No,Stayed,Competitor
20,Offer D,64.4,1398.6,Yes,Yes,No,Yes,No,Month-to-Month,No,Stayed,Competitor
46,Offer B,19.4,967.85,No,No,No,No,No,Two Year,No,Stayed,Competitor
2,Offer B,74.4,139.4,Yes,Yes,No,No,No,Month-to-Month,Yes,Churned,Attitude
1,Offer E,70.45,70.45,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Other
72,Offer B,105.0,7589.8,Yes,Yes,No,Yes,No,Two Year,Yes,Stayed,Competitor
70,Offer B,25.15,1790.15,No,No,No,No,No,Two Year,No,Stayed,Competitor
2,Offer B,19.3,44.4,No,No,No,No,No,Month-to-Month,No,Joined,Competitor
23,Offer D,55.3,1284.2,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Stayed,Competitor
36,Offer C,95.4,3474.2,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
59,Offer B,93.85,5574.75,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Price
67,Offer A,20.5,1430.95,No,No,No,No,No,Two Year,No,Stayed,Competitor
72,Offer B,105.55,7542.25,Yes,Yes,No,Yes,No,Two Year,Yes,Stayed,Competitor
37,Offer B,101.9,3545.35,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Churned,Dissatisfaction
72,Offer A,24.45,1709.1,No,No,No,No,No,Two Year,No,Stayed,Competitor
72,Offer A,19.7,1421.9,No,No,No,No,No,Two Year,No,Stayed,Competitor
3,Offer E,74.4,229.55,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Dissatisfaction
54,Offer B,101.5,5373.1,Yes,No,Yes,No,No,One Year,Yes,Churned,Price
60,Offer B,95.75,5742.9,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Churned,Dissatisfaction
58,Offer B,110.65,6526.65,Yes,Yes,Yes,Yes,No,One Year,Yes,Stayed,Competitor
31,Offer C,83.85,2674.15,Yes,No,Yes,No,No,Month-to-Month,Yes,Stayed,Competitor
3,Offer B,60.25,170.5,Yes,No,No,No,No,Month-to-Month,Yes,Joined,Competitor
